"id";"match_name";"match_id";"first_team_id";"goal_first";"second_team_id";"goal_second";"schedule";"created_at"
"131";"Grup B Matchday 1";"5";"231";"5";"287";"0";"2020-03-14 08:30:00";"2020-03-14 00:29:53"
"132";"Grup C Matchday 1";"5";"237";"4";"279";"2";"2020-03-14 10:00:00";"2020-03-14 00:31:31"
"133";"Grup D Matchday 1";"5";"257";"7";"275";"4";"2020-03-14 15:30:00";"2020-03-14 00:32:26"
"134";"Grup E Matchday 1";"5";"241";"2";"228";"2";"2020-03-14 16:15:00";"2020-03-14 00:33:21"
"135";"Grup F Matchday 1";"5";"267";"2";"292";"4";"2020-03-14 17:30:00";"2020-03-14 00:34:00"
"136";"Grup G Matchday 1";"5";"253";"1";"265";"4";"2020-03-14 19:15:00";"2020-03-14 00:34:41"
"137";"Grup H Matchday 1";"5";"203";"2";"229";"2";"2020-03-14 20:00:00";"2020-03-14 00:35:27"
"138";"Grup A Matchday 1";"9";"232";"3";"254";"0";"2020-03-14 09:15:00";"2020-03-14 00:36:36"
"140";"Grup C Matchday 1";"9";"233";"0";"278";"1";"2020-03-14 18:15:00";"2020-03-14 00:38:10"
"141";"Grub B Matchday 1";"9";"238";"3";"288";"3";"2020-03-14 14:45:00";"2020-03-14 01:11:06"
"142";"test fc";"8";"289";"6";"290";"2";"2020-03-19 22:22:00";"2020-03-17 05:12:52"
"143";"test 2";"8";"289";"2";"290";"2";"2020-03-24 22:22:00";"2020-03-23 06:53:49"
